2017/08/15 07:53:35 [xorm] [warn]  2017/08/15 07:53:35.492566 Table repository Column enable_wiki db default is 1, struct default is true
2017/08/15 07:53:35 [xorm] [warn]  2017/08/15 07:53:35.492610 Table repository Column enable_issues db default is 1, struct default is true
2017/08/15 07:53:35 [xorm] [warn]  2017/08/15 07:53:35.492626 Table repository Column enable_pulls db default is 1, struct default is true
2017/08/15 07:53:35 [xorm] [warn]  2017/08/15 07:53:35.492633 Table repository Column is_fork db default is 0, struct default is false
2017/08/15 07:53:35 [xorm] [warn]  2017/08/15 07:53:35.492932 Table action Column is_private db default is 0, struct default is false
2017/08/15 07:53:35 [xorm] [warn]  2017/08/15 07:53:35.493434 Table mirror Column enable_prune db default is 1, struct default is true
2017/08/15 07:53:35 [xorm] [warn]  2017/08/15 07:53:35.493508 Table release Column is_draft db default is 0, struct default is false
2017/08/15 07:53:35 [xorm] [warn]  2017/08/15 07:53:35.493555 Table login_source Column is_actived db default is 0, struct default is false
2017/08/15 07:57:45 [xorm] [warn]  2017/08/15 07:57:45.577387 Table repository Column enable_wiki db default is 1, struct default is true
2017/08/15 07:57:45 [xorm] [warn]  2017/08/15 07:57:45.577423 Table repository Column enable_issues db default is 1, struct default is true
2017/08/15 07:57:45 [xorm] [warn]  2017/08/15 07:57:45.577439 Table repository Column enable_pulls db default is 1, struct default is true
2017/08/15 07:57:45 [xorm] [warn]  2017/08/15 07:57:45.577447 Table repository Column is_fork db default is 0, struct default is false
2017/08/15 07:57:45 [xorm] [warn]  2017/08/15 07:57:45.577736 Table action Column is_private db default is 0, struct default is false
2017/08/15 07:57:45 [xorm] [warn]  2017/08/15 07:57:45.578239 Table mirror Column enable_prune db default is 1, struct default is true
2017/08/15 07:57:45 [xorm] [warn]  2017/08/15 07:57:45.578317 Table release Column is_draft db default is 0, struct default is false
2017/08/15 07:57:45 [xorm] [warn]  2017/08/15 07:57:45.578397 Table login_source Column is_actived db default is 0, struct default is false
2017/08/15 08:05:15 [xorm] [warn]  2017/08/15 08:05:15.580043 Table repository Column enable_wiki db default is 1, struct default is true
2017/08/15 08:05:15 [xorm] [warn]  2017/08/15 08:05:15.580216 Table repository Column enable_issues db default is 1, struct default is true
2017/08/15 08:05:15 [xorm] [warn]  2017/08/15 08:05:15.580234 Table repository Column enable_pulls db default is 1, struct default is true
2017/08/15 08:05:15 [xorm] [warn]  2017/08/15 08:05:15.580242 Table repository Column is_fork db default is 0, struct default is false
2017/08/15 08:05:15 [xorm] [warn]  2017/08/15 08:05:15.580558 Table action Column is_private db default is 0, struct default is false
2017/08/15 08:05:15 [xorm] [warn]  2017/08/15 08:05:15.581055 Table mirror Column enable_prune db default is 1, struct default is true
2017/08/15 08:05:15 [xorm] [warn]  2017/08/15 08:05:15.581126 Table release Column is_draft db default is 0, struct default is false
2017/08/15 08:05:15 [xorm] [warn]  2017/08/15 08:05:15.581176 Table login_source Column is_actived db default is 0, struct default is false
